City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vila Franca do Campo,37.72,-25.43,66.2,93.0,75.0,9.17,PT,1593153425
Kimbe,-5.55,150.14,85.12,67.0,2.0,6.44,PG,1593153425
Klaksvík,62.23,-6.59,51.8,87.0,100.0,3.36,FO,1593153204
Pokhara,28.23,83.98,81.36,73.0,64.0,3.91,NP,1593153425
Negotin,44.23,22.53,73.72,71.0,85.0,8.68,RS,1593153425
Tilichiki,60.47,166.1,61.38,60.0,50.0,9.17,RU,1593153184
Nyurba,63.28,118.33,80.11,40.0,46.0,3.22,RU,1593153426
Nurobod,40.91,69.8,95.0,17.0,98.0,11.41,UZ,1593153400
Englehart,47.82,-79.87,57.2,87.0,90.0,8.05,CA,1593153426
Ilulissat,69.22,-51.1,39.2,86.0,96.0,1.12,GL,1593153211
Srivaikuntam,8.62,77.93,93.2,56.0,75.0,4.7,IN,1593153401
Isangel,-19.55,169.27,77.0,83.0,75.0,5.82,VU,1593153207
Nueve de Julio,-35.44,-60.88,39.0,78.0,47.0,6.76,AR,1593153426
Pangnirtung,66.15,-65.71,46.9,64.0,87.0,1.45,CA,1593153426
Thunder Bay,48.4,-89.32,55.4,87.0,5.0,2.24,CA,1593153289
Port Elizabeth,-33.92,25.57,53.6,100.0,0.0,1.12,ZA,1593153200
Bairiki Village,1.33,172.98,84.2,70.0,20.0,4.7,KI,1593153219
Kaohsiung City,22.62,120.31,89.6,66.0,75.0,8.05,TW,1593153426
Usinsk,65.99,57.53,45.14,80.0,100.0,13.89,RU,1593153426
Saldanha,-33.01,17.94,53.6,87.0,0.0,4.7,ZA,1593153177
Geraldton,-28.77,114.6,71.6,60.0,83.0,12.75,AU,1593153049
Coruripe,-10.13,-36.18,73.15,83.0,0.0,8.39,BR,1593153426
Pevek,69.7,170.31,31.55,95.0,63.0,17.54,RU,1593153208
Leningradskiy,69.38,178.42,31.93,98.0,100.0,14.09,RU,1593153218
Cilegon,-6.02,106.05,89.6,59.0,20.0,11.41,ID,1593153427
Itapira,-22.44,-46.82,61.92,90.0,100.0,1.74,BR,1593153427
Nārāyanpet,16.73,77.5,91.17,47.0,100.0,5.01,IN,1593153427
Kapaa,22.08,-159.32,78.8,83.0,40.0,13.87,US,1593153199
The Valley,18.22,-63.06,82.4,83.0,40.0,16.11,AI,1593153390
Esperance,-33.87,121.9,69.8,35.0,7.0,17.22,AU,1593153214
Limbang,4.75,115.0,87.8,58.0,75.0,8.05,MY,1593153427
Micheweni,-4.97,39.83,78.55,80.0,24.0,12.28,TZ,1593153427
Te Anau,-45.42,167.72,41.22,74.0,100.0,1.01,NZ,1593153181
Campbell River,50.02,-125.24,66.2,59.0,75.0,4.7,CA,1593153427
Taoudenni,22.68,-3.98,93.97,10.0,0.0,5.61,ML,1593153427
Mahébourg,-20.41,57.7,75.2,73.0,40.0,17.22,MU,1593153200
Severnyy,50.68,36.55,75.2,53.0,0.0,8.95,RU,1593153402
Katsuura,35.13,140.3,84.0,80.0,18.0,5.99,JP,1593153211
Saint Anthony,45.02,-93.22,75.0,53.0,40.0,3.36,US,1593153427
Havre-St-Pierre,50.23,-63.6,55.4,93.0,1.0,2.24,CA,1593153427
Maceió,-9.67,-35.74,71.6,94.0,75.0,5.82,BR,1593153427
Kadayanallur,9.08,77.35,78.42,70.0,100.0,11.77,IN,1593153428
Nouadhibou,20.93,-17.03,69.8,77.0,0.0,20.8,MR,1593153209
Marzuq,14.4,46.47,92.21,14.0,64.0,4.38,YE,1593153428
Tautira,-17.73,-149.15,78.8,74.0,20.0,13.87,PF,1593153201
Hamina,60.57,27.2,77.0,41.0,0.0,8.05,FI,1593153428
Coquimbo,-29.95,-71.34,50.0,87.0,100.0,3.36,CL,1593153402
Lagos,6.58,3.75,77.0,94.0,20.0,2.24,NG,1593153428
Dunedin,-45.87,170.5,48.99,87.0,100.0,1.01,NZ,1593153218
Mount Gambier,-37.83,140.77,55.4,62.0,100.0,5.82,AU,1593153209
Mabay,6.06,124.47,82.4,74.0,90.0,2.24,PH,1593153428
Knysna,-34.04,23.05,55.4,87.0,90.0,12.75,ZA,1593153402
Caravelas,-17.71,-39.25,66.36,91.0,0.0,2.59,BR,1593153182
Kuching,1.55,110.33,73.4,100.0,40.0,11.41,MY,1593153292
Yerofey Pavlovich,53.97,121.97,68.56,56.0,100.0,2.95,RU,1593153403
Lata,40.16,-8.33,64.0,86.0,100.0,5.03,PT,1593153428
Malanje,-9.54,16.34,61.65,32.0,0.0,7.11,AO,1593153428
Gigmoto,13.78,124.39,86.61,70.0,100.0,6.26,PH,1593153428
Ayna,-12.65,-73.92,58.69,66.0,39.0,1.03,PE,1593153428
Burayevo,55.84,55.41,54.86,78.0,100.0,11.99,RU,1593153429
Port Lincoln,-34.73,135.87,58.33,67.0,58.0,4.29,AU,1593153429
Kamenka,51.32,42.77,68.0,60.0,23.0,4.0,RU,1593153182
Sungai Penuh,-2.08,101.38,79.74,59.0,12.0,4.79,ID,1593153403
Dikson,73.51,80.55,37.27,91.0,94.0,10.31,RU,1593153215
Shihezi,44.3,86.03,91.42,13.0,0.0,7.27,CN,1593153429
Kavieng,-2.57,150.8,85.21,72.0,6.0,13.94,PG,1593153191
Hasaki,35.73,140.83,91.0,83.0,40.0,2.24,JP,1593153173
Cap Malheureux,-19.98,57.61,75.99,68.0,0.0,13.0,MU,1593153429
Bataiporã,-22.3,-53.27,59.05,95.0,100.0,8.12,BR,1593153403
Shingū,33.73,135.98,77.0,100.0,75.0,9.17,JP,1593153429
Manokwari,-0.87,134.08,84.38,70.0,76.0,5.86,ID,1593153429
Bonavista,48.65,-53.11,58.84,96.0,100.0,11.48,CA,1593153429
Fort-Shevchenko,44.51,50.26,70.02,55.0,1.0,24.0,KZ,1593153429
Souillac,-20.52,57.52,75.2,73.0,40.0,17.22,MU,1593153174
Salamiyah,35.01,37.05,85.71,29.0,0.0,8.5,SY,1593153429
Manzhouli,49.6,117.43,72.73,41.0,96.0,4.32,CN,1593153429
Qui Nhon,13.77,109.23,87.75,67.0,100.0,17.34,VN,1593153429
Yazman,29.12,71.74,109.53,23.0,0.0,18.9,PK,1593153429
Ostrovnoy,68.05,39.51,48.69,85.0,100.0,9.75,RU,1593153202
Pleasant Grove,40.36,-111.74,69.8,52.0,1.0,5.82,US,1593153430
Cidreira,-30.18,-50.21,51.31,81.0,13.0,12.37,BR,1593153183
Carolina,18.38,-65.96,82.4,78.0,40.0,11.41,PR,1593153430
Tabuk,17.42,121.44,90.57,55.0,100.0,2.35,PH,1593153430
Yinchuan,38.47,106.27,90.28,12.0,96.0,2.06,CN,1593153430
Ginir,7.13,40.7,68.02,67.0,9.0,9.66,ET,1593153430
Mirny,62.54,113.96,80.6,32.0,40.0,2.24,RU,1593153404
Tahoua,14.89,5.27,86.0,66.0,6.0,13.87,NE,1593153430
Hong Kong,22.29,114.16,90.0,66.0,100.0,15.01,HK,1593153168
Otradnoye,59.78,30.82,77.0,53.0,27.0,6.71,RU,1593153430
Kyaikkami,16.08,97.57,83.43,73.0,100.0,1.81,MM,1593153430
Yellowknife,62.46,-114.35,57.0,76.0,40.0,5.82,CA,1593153199
Torquay,50.46,-3.51,62.01,96.0,1.0,8.23,GB,1593153430
Pasni,25.26,63.47,85.89,77.0,70.0,12.28,PK,1593153405
Desaguadero,-16.57,-69.04,36.75,84.0,3.0,5.64,PE,1593153430
Andilamena,-17.02,48.58,63.39,86.0,85.0,12.08,MG,1593153405
Pisco,-13.7,-76.22,59.0,87.0,90.0,2.24,PE,1593153219
Chara,56.91,118.26,70.41,43.0,100.0,6.76,RU,1593153431
Miles City,46.41,-105.84,62.6,67.0,1.0,3.36,US,1593153405
Trincomalee,8.57,81.23,88.93,63.0,100.0,14.03,LK,1593153431
Pacora,9.08,-79.28,80.6,88.0,40.0,2.24,PA,1593153431
Addis Ababa,9.03,38.75,68.88,44.0,0.0,0.98,ET,1593153277
Sistranda,63.73,8.83,68.0,64.0,93.0,16.04,NO,1593153214
Brookhaven,31.58,-90.44,69.01,67.0,100.0,4.47,US,1593153431
Grande Prairie,55.17,-118.8,55.4,66.0,75.0,6.93,CA,1593153405
Longyearbyen,78.22,15.64,50.0,71.0,75.0,6.93,SJ,1593153405
Faya,18.39,42.45,78.8,17.0,0.0,9.17,SA,1593153197
Mīzan Teferī,6.98,35.58,66.45,90.0,84.0,1.1,ET,1593153431
Richards Bay,-28.78,32.04,67.66,59.0,0.0,16.44,ZA,1593153180
Meulaboh,4.14,96.13,85.35,65.0,99.0,5.99,ID,1593153193
Tasiilaq,65.61,-37.64,39.2,93.0,94.0,4.7,GL,1593153206
Hamilton,39.18,-84.53,70.0,93.0,1.0,4.85,US,1593152933
Ixtapa,20.7,-105.2,78.01,97.0,100.0,1.01,MX,1593153218
Olafsvik,64.89,-23.71,49.05,82.0,100.0,6.91,IS,1593153214
Kiruna,67.86,20.23,55.4,54.0,51.0,2.24,SE,1593153188
Borba,-4.39,-59.59,74.91,78.0,35.0,1.3,BR,1593153431
Punta de Piedra,7.62,-71.49,71.51,92.0,100.0,2.33,VE,1593153432
Níjar,36.97,-2.21,71.6,78.0,0.0,3.36,ES,1593153168
Gizo Government Station,-8.1,156.84,83.34,78.0,12.0,15.32,SB,1593153432
Yenagoa,4.92,6.26,76.51,91.0,100.0,7.58,NG,1593153432
Dobele,56.62,23.28,73.4,64.0,0.0,3.36,LV,1593153432
Lesogorsk,56.05,99.51,81.12,45.0,100.0,3.65,RU,1593153432
Shima,24.45,117.81,93.2,67.0,40.0,13.42,CN,1593153432
Pau dos Ferros,-6.11,-38.21,68.61,84.0,93.0,4.54,BR,1593153432
Puerto Colombia,10.99,-74.95,82.4,78.0,100.0,9.17,CO,1593153432
Mbanza-Ngungu,-5.25,14.87,66.33,84.0,100.0,5.32,CD,1593153432
Gijang,35.24,129.21,82.4,58.0,20.0,5.82,KR,1593153220
Westport,41.14,-73.36,69.8,77.0,1.0,3.36,US,1593153143
Dalbandin,28.89,64.41,103.82,8.0,0.0,4.83,PK,1593153432
Salalah,17.02,54.09,89.6,70.0,20.0,8.05,OM,1593152998
Solnechnyy,50.72,136.63,68.85,55.0,59.0,5.28,RU,1593153219
Flagstaff,35.2,-111.65,72.0,18.0,1.0,4.7,US,1593153385
Lockport,41.59,-88.06,69.8,68.0,1.0,5.82,US,1593153432
Pemberton,50.32,-122.8,64.74,58.0,86.0,3.76,CA,1593153306
Paramirim,-13.44,-42.24,63.5,90.0,1.0,5.91,BR,1593153433
Mpanda,-6.37,31.04,74.26,47.0,89.0,7.27,TZ,1593153433
Brae,60.4,-1.35,60.8,82.0,80.0,16.11,GB,1593153433
Myingyan,21.47,95.38,87.8,79.0,75.0,11.41,MM,1593153407
Great Yarmouth,52.61,1.73,71.6,73.0,97.0,4.7,GB,1593153433
Saint-Pierre,-21.34,55.48,75.2,73.0,90.0,24.16,RE,1593153433
Jacmel,18.23,-72.53,82.4,74.0,1.0,6.93,HT,1593153433
Uarini,-2.99,-65.11,72.16,95.0,100.0,1.5,BR,1593153433
Bereket,39.24,55.52,94.86,21.0,0.0,18.63,TM,1593153433
Terney,45.05,136.61,55.31,92.0,100.0,8.21,RU,1593153433
Jamundí,3.26,-76.53,69.8,88.0,75.0,3.36,CO,1593153407
Melfi,41.0,15.65,73.99,73.0,5.0,3.36,IT,1593153433
Yakeshi,49.28,120.73,72.57,44.0,99.0,6.44,CN,1593153433
Hofn,64.25,-15.21,51.03,79.0,98.0,2.01,IS,1593153407
Petropavlovsk-Kamchatskiy,53.05,158.65,75.2,47.0,15.0,13.42,RU,1593153125
Grieskirchen,48.23,13.83,60.8,87.0,20.0,2.24,AT,1593153433
Giżycko,54.04,21.76,72.41,76.0,28.0,9.98,PL,1593153408
Isabela,6.71,121.97,82.4,78.0,40.0,5.82,PH,1593153408
Cleveland,41.5,-81.7,69.8,60.0,1.0,6.93,US,1593153203
Myitkyina,25.38,97.4,79.29,92.0,100.0,0.4,MM,1593153434
Beringovskiy,63.05,179.32,47.39,76.0,100.0,12.66,RU,1593153408
Kruisfontein,-34.0,24.73,58.73,85.0,4.0,8.39,ZA,1593153207
Yumen,40.28,97.2,89.58,11.0,100.0,4.38,CN,1593153207
Laguna,38.42,-121.42,73.99,56.0,1.0,9.17,US,1593153214
Mossamedes,-15.2,12.15,72.09,46.0,0.0,3.53,AO,1593153190
Lavrentiya,65.58,-171.0,44.22,71.0,100.0,14.36,RU,1593153434
Ponta do Sol,32.67,-17.1,68.0,60.0,40.0,8.05,PT,1593153204
Thinadhoo,0.53,72.93,84.94,72.0,60.0,9.78,MV,1593153434
Bareilly,28.35,79.42,99.86,38.0,0.0,8.7,IN,1593153434
Portland,45.52,-122.68,72.0,60.0,20.0,9.17,US,1593153342
Ust-Nera,64.57,143.2,79.7,24.0,74.0,5.79,RU,1593153434
Broken Hill,-31.95,141.43,60.8,42.0,40.0,8.05,AU,1593153434
Windsor Locks,41.93,-72.63,66.2,68.0,20.0,3.36,US,1593153434
Shāmgarh,24.18,75.63,94.87,46.0,74.0,11.36,IN,1593153434
Yulara,-25.24,130.99,66.2,26.0,0.0,8.05,AU,1593153213
Manyana,-23.4,21.72,54.36,45.0,0.0,6.31,BW,1593153435
Xuchang,34.02,113.82,89.6,59.0,100.0,4.47,CN,1593153435
Weiser,44.25,-116.97,75.2,41.0,1.0,8.05,US,1593153206
Paragould,36.06,-90.5,75.2,88.0,20.0,8.88,US,1593153435
Yuli,9.7,10.27,79.39,77.0,99.0,9.66,NG,1593153435
Morgan City,29.7,-91.21,77.0,100.0,90.0,8.05,US,1593153435
Marystown,47.17,-55.15,60.15,97.0,100.0,7.85,CA,1593153210
Bhadrak,21.06,86.51,99.48,44.0,78.0,14.43,IN,1593153435
Zhangye,38.93,100.45,89.56,12.0,100.0,10.18,CN,1593153435
Mbandaka,0.05,18.26,71.64,93.0,100.0,2.73,CD,1593153409
Kapoeta,4.77,33.59,82.83,51.0,0.0,17.27,SS,1593153435
Muroto-misakicho,33.28,134.15,82.4,83.0,75.0,10.29,JP,1593153182
Cervo,43.67,-7.41,62.01,83.0,100.0,1.01,ES,1593153435
Opuwo,-18.06,13.84,60.67,31.0,0.0,7.31,NA,1593153209
Husavik,66.04,-17.34,50.0,93.0,90.0,8.05,IS,1593153181
Karabulak,43.3,44.9,71.6,68.0,75.0,6.71,RU,1593153435
